school,test_optional_or_no,applies_to_class_year_s,policy_details,number_of_applicants,accept_rate,sat_tot_25th_percentile,sat_tot_75th_percentile,act_composite_25th_percentile,act_composite_75th_percentile,sat_equiv_of_act_25th,sat_equiv_of_act_75th,sat_minus_sat_equiv_25th_perc,sat_minus_sat_equiv_75th_perc
Tufts University,Yes,2021 2022 2023,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,0.15,1390,1540,32,34,1430,1500,-40,40
Washington University in St. Louis,Yes,2021,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,0.15,1470,1570,32,35,1430,1540,40,30
Middlebury College,Yes,2021 2022 2023,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,0.154,1360,1530,32,34,1430,1500,-70,30
Carnegie Mellon University,Yes,2021,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,0.154,1460,1560,33,35,1460,1540,0,20
University of Notre Dame,Yes,2021,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,0.158,1400,1550,32,35,1430,1540,-30,10
The Cooper Union,Yes,2021 2022,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,0.16,1283,1510,31,34,1400,1500,-117,10
New York University,Yes,2021,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,0.162,1370,1510,30,34,1370,1500,0,10
Haverford College,Yes,2021 2022 2023,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,0.163,1380,1540,32,34,1430,1500,-50,40
Wesleyan University,Yes,All / Permanent Policy,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,0.165,1320,1510,31,34,1400,1500,-80,10
Hamilton College,Yes,2021,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,0.165,1370,1520,32,34,1430,1500,-60,20
Northeastern University,Yes,2021,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,0.18100000000000002,1390,1540,32,35,1430,1540,-40,0
Davidson College,Yes,2021 2022 2023,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,0.18100000000000002,1310,1485,30,33,1370,1460,-60,25
Emory University,Yes,2021,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,0.185,1350,1520,31,34,1400,1500,-50,20
Carleton College,Yes,2021,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,0.19,1360,1540,31,34,1400,1500,-40,40
Georgia Institute of Technology,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,0.20600000000000002,1300,1510,29,34,1340,1500,-40,10
Washington and Lee University,Yes,2021,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,0.212,1348,1490,31,34,1400,1500,-52,-10
Wellesley College,Yes,2021,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,0.21600000000000003,1360,1530,31,34,1400,1500,-40,30
Boston University,Yes,2021,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,0.221,1330,1500,30,33,1370,1460,-40,40
Colgate University,Yes,2021,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,0.226,1330,1500,31,34,1400,1500,-70,0
University of North Carolina—​Chapel Hill,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,0.226,1300,1490,27,33,1280,1460,20,30
University of Michigan—​Ann Arbor,Yes,2021,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,0.22899999999999998,1340,1530,31,34,1400,1500,-60,30
Vassar College,Yes,2021,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,0.237,1370,1530,31,34,1400,1500,-30,30
Rhode Island School of Design,Yes,All / Permanent Policy,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,0.239,1180,1440,26,32,1240,1430,-60,10
University of Virginia,Yes,2021,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,0.239,1340,1500,30,34,1370,1500,-30,0
Grinnell College,Yes,2021,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,0.244,1370,1530,30,34,1370,1500,0,30
Babson College,Yes,2021,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,0.24,1270,1450,28,32,1310,1430,-40,20
University of Miami,Yes,2021,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,0.271,1280,1420,29,32,1340,1430,-60,-10
Boston College,Yes,2021,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,0.272,1370,1490,31,34,1400,1500,-30,-10
Villanova University,Yes,2021,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,0.282,1320,1470,31,34,1400,1500,-80,-30
University of Richmond,Yes,2021,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,0.28300000000000003,1290,1460,30,33,1370,1460,-80,0
California State Polytechnic University—​San Luis Obispo,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,0.284,1250,1420,26,32,1240,1430,10,-10
Trinity University,Yes,2021 2022 2023,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,0.28800000000000003,1290,1450,29,32,1340,1430,-50,20
Case Western Reserve University,Yes,2021,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,0.293,1350,1520,30,34,1370,1500,-20,20
University of Rochester,Yes,All / Permanent Policy,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,0.295,1300,1500,29,33,1340,1460,-40,40
University of California—​Santa Barbara,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,0.29600000000000004,1260,1460,25,33,1210,1460,50,0
Wake Forest University,Yes,All / Permanent Policy,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,0.29600000000000004,1320,1490,30,33,1370,1460,-50,30
Skidmore College,Yes,All / Permanent Policy,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,0.3,1220,1400,28,32,1310,1430,-90,-30
University of California—​San Diego,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,0.302,1250,1470,26,33,1240,1460,10,10
Franklin and Marshall College,Yes,All / Permanent Policy,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,0.304,1250,1460,28,32,1310,1430,-60,30
Brandeis University,Yes,All / Permanent Policy,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,0.311,1280,1500,29,33,1340,1460,-60,40
Lafayette College,Yes,2021,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,0.315,1250,1440,28,33,1310,1460,-60,-20
American University,Yes,All / Permanent Policy,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,0.315,1220,1380,27,31,1280,1400,-60,-20
University of Texas—​Austin,Yes,2021,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,0.318,1240,1470,27,33,1280,1460,-40,10
Scripps College,Yes,All / Permanent Policy,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,0.32,1333,1490,30,33,1370,1460,-37,30
Lehigh University,Yes,2021,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,0.321,1280,1450,29,33,1340,1460,-60,-10
Macalester College,Yes,All / Permanent Policy,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,0.32299999999999995,1320,1510,29,33,1340,1460,-20,50
Smith College,Yes,All / Permanent Policy,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,0.325,1340,1520,30,33,1370,1460,-30,60
Bryn Mawr College,Yes,All / Permanent Policy,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,0.331,1290,1510,29,33,1340,1460,-50,50
Trinity College (Hartford),Yes,All / Permanent Policy,Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,0.335,1300,1460,29,32,1340,1430,-40,30
Denison University,Yes,All / Permanent Policy,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,0.33899999999999997,1210,1380,28,31,1310,1400,-100,-20
San Diego State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,0.34,1110,1320,22,29,1110,1340,0,-20
Kenyon College,Yes,2021,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,0.341,1270,1460,29,33,1340,1460,-70,0
College of the Holy Cross,Yes,All / Permanent Policy,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,0.342,1260,1430,28,32,1310,1430,-50,0
Bucknell University,Yes,2021 2022 2023 2024 2025,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,0.342,1255,1430,28,32,1310,1430,-55,0
Emerson College,Yes,All / Permanent Policy,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,0.35600000000000004,1200,1390,27,31,1280,1400,-80,-10
Pepperdine University,Yes,2021,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,0.35700000000000004,1220,1420,26,32,1240,1430,-20,-10
Hampton University,Yes*,All / Permanent Policy,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,0.36,1040,1310,19,24,1010,1180,30,130
Oberlin College,Yes,2021 2022 2023,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,0.364,1280,1480,29,33,1340,1460,-60,20
Occidental College,Yes,2021,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,0.36700000000000005,1300,1480,28,32,1310,1430,-10,50
Connecticut College,Yes,All / Permanent Policy,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,0.374,1310,1450,30,33,1370,1460,-60,-10
College of William and Mary,Yes,2021 2022 2023,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,0.377,1320,1510,30,34,1370,1500,-50,10
Mount Holyoke College,Yes,All / Permanent Policy,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,0.382,1270,1490,27,32,1280,1430,-10,60
Berea College,Yes,2021,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,0.382,1030,1213,22,27,1110,1280,-80,-67
Pratt Institute,Yes,2021,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,0.385,1100,1320,26,30,1240,1370,-140,-50
Soka University of America,Yes,2021,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,0.38799999999999996,1180,1410,27,30,1280,1370,-100,40
California State University--Los Angeles,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,0.39,890,1080,15,20,850,1040,40,40
California State University--Long Beach,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,0.39299999999999996,1040,1250,20,26,1040,1240,0,10
Reed College,Yes (TB),2021 2022,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,0.395,1325,1520,30,34,1370,1500,-45,20
Binghamton University—​SUNY,Yes,2021,Binghamton University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,38755,0.39799999999999996,1310,1440,28,32,1310,1430,0,10
Dickinson College,Yes,All / Permanent Policy,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,0.401,1240,1410,28,32,1310,1430,-70,-20
University of Tulsa,Yes,2021,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,0.408,1180,1410,25,32,1210,1430,-30,-20
George Washington University,Yes,All / Permanent Policy,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,0.409,1280,1470,29,33,1340,1460,-60,10
University of California—​Davis,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,0.41200000000000003,1150,1410,25,31,1210,1400,-60,10
Stevens Institute of Technology,Yes,2021,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,0.414,1330,1480,30,33,1370,1460,-40,20
St. Lawrence University,Yes,All / Permanent Policy,St. Lawrence offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,6998,0.424,1160,1350,24,30,1180,1370,-20,-20
Union College (Schenectady NY),Yes,All / Permanent Policy,Union College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.,6086,0.429,1220,1420,27,32,1280,1430,-60,-10
Rensselaer Polytechnic Institute,Yes,2021,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,0.43,1330,1500,29,33,1340,1460,-10,40
Bentley University,Yes,2021,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,0.43200000000000005,1240,1410,28,32,1310,1430,-70,-20
Spelman College,Yes,2021,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,0.434,1080,1230,22,26,1110,1240,-30,-10
Loyola Marymount University,Yes,2021,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,0.43799999999999994,1230,1410,27,31,1280,1400,-50,10
University of Maryland—​College Park,Yes,2021,University of Maryland--College Park has adopted a one-year test optional policy for students applying for the Spring and Fall 2021 semesters.,32987,0.441,1280,1480,29,33,1340,1460,-60,20
Stony Brook University—​SUNY,Yes,2021,Stony Brook University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,37079,0.441,1230,1440,26,32,1240,1430,-10,10
Rhodes College,Yes,2021 2022 2023,Rhodes College has adopted a three-year test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5207,0.447,1220,1430,27,32,1280,1430,-60,0
North Carolina State University—​Raleigh,Yes,2021,NC State has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,30995,0.449,1250,1390,27,31,1280,1400,-30,-10
Baylor University,Yes,2021,Baylor University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,34582,0.45299999999999996,1200,1380,26,32,1240,1430,-40,-50
University of Dallas,Yes,2021,University of Dallas has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4676,0.45299999999999996,1150,1360,24,30,1180,1370,-30,-10
Gettysburg College,Yes,All / Permanent Policy,Gettysburg College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.,6269,0.45399999999999996,1270,1420,26,30,1240,1370,30,50
Fordham University,Yes,2021 2022,Fordham University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Fordham will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,46308,0.46,1250,1430,28,32,1310,1430,-60,0
Texas Christian University,Yes,2021,Texas Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19028,0.47100000000000003,1150,1350,25,31,1210,1400,-60,-50
Southern Methodist University,Yes,2021,Southern Methodist University has adopted a one-year test optional policy for the 2020-21 admission cycle.,13959,0.473,1300,1480,29,33,1340,1460,-40,20
Providence College,Yes,All / Permanent Policy,Providence College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,11478,0.475,1210,1350,27,31,1280,1400,-70,-50
St. Olaf College,Yes,All / Permanent Policy,St. Olaf College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5694,0.475,1190,1430,26,32,1240,1430,-50,0
University of New Mexico,Yes,All / Permanent Policy,UNM offers a test optional policy which allows students to be considered for admission without test scores. However home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.,12281,0.486,1040,1270,19,25,1010,1210,30,60
University of Georgia,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,26027,0.486,1240,1410,27,32,1280,1430,-40,-20
University of San Diego,Yes,All / Permanent Policy,University of San Diego offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13755,0.48700000000000004,1200,1350,26,31,1240,1400,-40,-50
University of Connecticut,Yes,2021 2022 2023,Unversity of Connecticut has adopted a three-year test optional policy for all students beginning with the 2020-2021 admission cycle.,34886,0.488,1210,1420,26,31,1240,1400,-30,20
